code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C99,RECRUTEMENT NATIONAL,,True,national,P01MAL01,MEDECINE,16.52,17.0,17.34,2023,moy_min_bac2023.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P02MAL01,PHARMACIE,15.94,16.41,16.73,2023,moy_min_bac2023.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P03MAL01,MEDECINE DENTAIRE,16.42,16.9,17.24,2023,moy_min_bac2023.pdf,1
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,ADRAR,False,fallback_scan,D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,11.66,12.23,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,9.31,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A05TCL01,GENIE CIVIL,9.95,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,10.14,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,10.27,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A19TCL01,GENIE MECANIQUE,10.17,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,8.09,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C01LAL01,INFORMATIQUE,11.11,11.45,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C02LAL01,MATHEMATIQUES,9.58,8.51,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.67,,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,9.05,10.6,10.15,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.39,11.22,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G01LAL02,SCIENCES POLITIQUES,10.0,10.2,10.82,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G02LAL01,DROIT,10.0,10.05,10.02,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H01LAL01,LANGUE FRANCAISE,10.69,8.6,8.99,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H06LAL01,LANGUE ANGLAISE,10.03,10.27,11.11,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I17LAL02,SCIENCES HUMAINES,10.21,11.08,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I19LAL01,SCIENCES SOCIALES,10.93,11.69,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I20LAL01,SCIENCES ISLAMIQUES,10.0,10.33,,2023,moy_min_bac2023.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.24,,2023,moy_min_bac2023.pdf,1
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A00LAL04,SCIENCES ET TECHNOLOGIES,9.75,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A05TCL01,GENIE CIVIL,11.86,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,9.52,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,10.18,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A19TCL01,GENIE MECANIQUE,11.95,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,B00LAL03,SCIENCES DE LA MATIERE,7.75,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,C01LAL03,INFORMATIQUE,13.26,13.85,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,C02LAL03,MATHEMATIQUES,8.65,8.55,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,11.93,12.95,14.03,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,10.2,,10.02,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,9.88,,10.08,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,E03LAL02,GEOLOGIE,9.7,10.71,10.24,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.27,10.29,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,G01LAL03,SCIENCES POLITIQUES,10.0,10.12,10.11,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,G02LAL01,DROIT,10.21,10.88,11.66,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,H01LAL03,LANGUE FRANCAISE,11.47,12.37,13.1,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,H06LAL01,LANGUE ANGLAISE,12.39,13.21,14.12,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,I17LAL02,SCIENCES HUMAINES,10.0,10.02,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,I19LAL03,SCIENCES SOCIALES,10.0,10.0,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.0,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.0,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,N01LAL01,GESTION DES TECHNIQUES URBAINES,9.93,,,2023,moy_min_bac2023.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,N05IAL02,ARCHITECTURE,11.34,,,2023,moy_min_bac2023.pdf,2
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,C01LAL02,INFORMATIQUE,11.05,7.96,,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.02,,10.08,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,G02LAL02,DROIT,10.0,10.02,12.62,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,H01LAL02,LANGUE FRANCAISE,10.55,11.18,10.17,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,H06LAL03,LANGUE ANGLAISE,10.68,11.43,12.48,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,I17LAL02,SCIENCES HUMAINES,10.2,10.7,,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,I19LAL02,SCIENCES SOCIALES,10.05,10.02,,2023,moy_min_bac2023.pdf,3
C43,C. UNIV. AFLOU,LAGHOUAT,False,propagated_from_reference,L00LAL01,LANGUE ET LITTERATURE ARABES,10.09,11.53,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,9.12,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A00TCL02,SCIENCES ET TECHNOLOGIES,9.17,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A05IAN01,GENIE CIVIL,10.87,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A05IAN02,GENIE CIVIL,9.29,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A05TCL01,GENIE CIVIL,10.2,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,9.85,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A09IAN04,ELECTROTECHNIQUE,11.01,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A15IAN01,TRAVAUX PUBLICS,10.69,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,10.25,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,A19TCL01,GENIE MECANIQUE,10.68,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,7.78,,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,C01LAL03,INFORMATIQUE,9.61,7.87,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,C01TCL02,INFORMATIQUE,13.03,13.65,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,C02LAL03,MATHEMATIQUES,10.29,8.82,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,CF0LAN01,MATHEMATIQUES APPLIQUEES + SCIENCES ECONOMIQUES,12.63,13.32,,2023,moy_min_bac2023.pdf,3
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.85,11.52,11.56,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,8.83,,10.76,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.78,10.0,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,F04EAN01,SCIENCES ECONOMIQUES,10.68,11.66,12.17,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,G01LAL01,SCIENCES POLITIQUES,10.0,10.11,10.06,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,G02LAL03,DROIT,10.0,10.03,11.5,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,H01LAL01,LANGUE FRANCAISE,11.05,8.55,8.74,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,H02LAL01,LANGUE ESPAGNOLE,11.28,,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,H06LAL01,LANGUE ANGLAISE,11.36,12.11,12.93,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,I17LAL01,SCIENCES HUMAINES,10.0,10.08,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,I19LAL01,SCIENCES SOCIALES,10.0,10.07,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,I20LAL02,SCIENCES ISLAMIQUES,10.83,11.65,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.01,,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,L00LAL02,LANGUE ET LITTERATURE ARABES,10.04,10.0,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,N01LAL01,GESTION DES TECHNIQUES URBAINES,8.43,,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,N02IAN01,METIERS DE LA VILLE,7.89,,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,N05IAL01,ARCHITECTURE,11.5,,,2023,moy_min_bac2023.pdf,4
C18,UNIV. LAGHOUAT,LAGHOUAT,False,univ_prefix,P04VAL01,SCIENCES VETERINAIRES,11.43,,12.58,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,8.45,,,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,A05TCL01,GENIE CIVIL,9.66,,,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,10.26,,,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,9.91,,,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,A19TCL01,GENIE MECANIQUE,10.16,,,2023,moy_min_bac2023.pdf,4
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,8.1,,,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,C01LAL01,INFORMATIQUE,11.11,11.28,,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,C02LAL01,MATHEMATIQUES,10.44,10.94,,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.58,11.81,12.06,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,9.55,,,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.93,,10.0,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,E03LAL01,GEOLOGIE,10.24,,10.74,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.0,10.62,2023,moy_min_bac2023.pdf,5
E09,UNIV. OUM EL BOUAGHI,OUM EL BOUAGHI,False,univ_prefix,G01LAL02,SCIENCES POLITIQUES,10.13,10.48,11.15,2023,moy_min_bac2023.pdf,5
