code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C43,C. UNIV. AFLOU,,False,A_VERIFIER,C01LAL02,INFORMATIQUE,11.1,10.67,,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",9.82,,9.52,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,G02LAL02,DROIT,10.09,12.7,11.68,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,H01LAL02,LANGUE FRANCAISE,11.13,11.03,11.0,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,I17LAL02,SCIENCES HUMAINES,9.52,10.47,,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,I19LAL02,SCIENCES SOCIALES,9.78,12.44,11.44,2022,moy_min_bac2022.pdf,2
C43,C. UNIV. AFLOU,,False,A_VERIFIER,L00LAL01,LANGUE ET LITTERATURE ARABES,9.5,9.66,,2022,moy_min_bac2022.pdf,2
E44,C . UNIV BARIKA,,False,A_VERIFIER,A00LAL04,SCIENCES ET TECHNOLOGIES,8.01,8.0,,2022,moy_min_bac2022.pdf,4
E44,C . UNIV BARIKA,,False,A_VERIFIER,C01LAL02,INFORMATIQUE,9.7,7.39,,2022,moy_min_bac2022.pdf,4
E44,C . UNIV BARIKA,,False,A_VERIFIER,C02LAL02,MATHEMATIQUES,11.59,7.87,,2022,moy_min_bac2022.pdf,4
E44,C . UNIV BARIKA,,False,A_VERIFIER,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",9.51,9.91,9.51,2022,moy_min_bac2022.pdf,4
E44,C . UNIV BARIKA,,False,A_VERIFIER,G02LAL02,DROIT,9.5,9.51,9.89,2022,moy_min_bac2022.pdf,4
E44,C . UNIV BARIKA,,False,A_VERIFIER,H01LAL03,LANGUE FRANCAISE,11.03,11.32,11.33,2022,moy_min_bac2022.pdf,4
