code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page,domaine_code,type_inscription,type_etablissement,wilaya_cible
C01,USTHB,ALGER,False,propagated_from_2025,A00LAL03,SCIENCES ET TECHNOLOGIES,11.45,12.24,,2022,moy_min_bac2022.pdf,17,A00,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,A00TCL02,SCIENCES ET TECHNOLOGIES (INGENIEUR),12.92,13.83,,2022,moy_min_bac2022.pdf,17,A00,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,B00LAL02,SCIENCES DE LA MATIERE,9.91,,,2022,moy_min_bac2022.pdf,17,B00,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,C01LAL01,INFORMATIQUE,15.03,15.78,,2022,moy_min_bac2022.pdf,17,C01,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,C01TCL02,INFORMATIQUE (INGENIEUR),16.06,16.87,,2022,moy_min_bac2022.pdf,17,C01,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,C02LAL01,MATHEMATIQUES,11.43,12.21,,2022,moy_min_bac2022.pdf,17,C02,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,10.28,11.2,11.73,2022,moy_min_bac2022.pdf,17,D00,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,7.65,7.74,9.51,2022,moy_min_bac2022.pdf,17,E01,local,universite,
C01,USTHB,ALGER,False,propagated_from_2025,E03LAL01,GEOLOGIE,7.33,7.61,9.5,2022,moy_min_bac2022.pdf,17,E03,local,universite,
C03,ECOLE SUPERIEURE DE COMMERCE KOLEA,TIPAZA,False,propagated_from_2025,F00CAN05,CP SECSG ECOLE SUPERIEURE DE COMMERCE KOLEA,15.88,,,2022,moy_min_bac2022.pdf,38,F00,national,grande_ecole,
C04,ECOLE DES HAUTES ETUDES COMMERCIALES KOLEA,TIPAZA,False,propagated_from_2025,F00CAN06,CP SECSG ECOLE DES HAUTES ETUDES COMMERCIALES KOLEA,15.67,,,2022,moy_min_bac2022.pdf,38,F00,national,grande_ecole,
C05,ECOLE NATIONALE POLYTECHNIQUE D ALGER,ALGER,False,fallback_scan,A00CAN04,CP ST ECOLE NATIONALE POLYTECHNIQUE D ALGER,17.17,18.06,,2022,moy_min_bac2022.pdf,15,A00,national,grande_ecole,
C06,ECOLE NATIONALE SUPERIEURE AGRONOMIQUE ALGER,ALGER,False,fallback_scan,D00CAN07,CP SNV ECOLE NATIONALE SUPERIEURE AGRONOMIQUE ALGER,13.98,14.7,,2022,moy_min_bac2022.pdf,15,D00,national,grande_ecole,
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers CHLEF,15.25,15.98,,2022,moy_min_bac2022.pdf,51,B00,local,ens,CHLEF
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers BEJAIA,14.35,14.14,,2022,moy_min_bac2022.pdf,51,B00,local,ens,BEJAIA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers BLIDA,14.31,14.84,,2022,moy_min_bac2022.pdf,51,B00,local,ens,BLIDA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers BOUIRA,15.11,16.03,,2022,moy_min_bac2022.pdf,51,B00,local,ens,BOUIRA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TAMANRASSET,,,,2022,moy_min_bac2022.pdf,51,B00,local,ens,TAMANRASSET
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TIZI-OUZOU,14.69,15.14,,2022,moy_min_bac2022.pdf,51,B00,local,ens,TIZI-OUZOU
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers ALGER,14.13,14.16,,2022,moy_min_bac2022.pdf,51,B00,local,ens,ALGER
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers ILLIZI,,,,2022,moy_min_bac2022.pdf,51,B00,local,ens,ILLIZI
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers BOUMERDES,14.35,14.85,,2022,moy_min_bac2022.pdf,51,B00,local,ens,BOUMERDES
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TISSEMSILT,15.85,,,2022,moy_min_bac2022.pdf,51,B00,local,ens,TISSEMSILT
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TIPAZA,14.62,15.13,,2022,moy_min_bac2022.pdf,51,B00,local,ens,TIPAZA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers AIN-DEFLA,14.87,15.59,,2022,moy_min_bac2022.pdf,51,B00,local,ens,AIN-DEFLA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers IN SALAH,,,,2022,moy_min_bac2022.pdf,51,B00,local,ens,IN SALAH
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers IN GUEZZAM,,,,2022,moy_min_bac2022.pdf,51,B00,local,ens,IN GUEZZAM
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers DJANET,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,DJANET
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BEJAIA,15.34,15.59,,2022,moy_min_bac2022.pdf,52,B00,local,ens,BEJAIA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BLIDA,14.95,15.55,,2022,moy_min_bac2022.pdf,52,B00,local,ens,BLIDA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BOUIRA,15.91,17.12,,2022,moy_min_bac2022.pdf,52,B00,local,ens,BOUIRA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TAMANRASSET,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,TAMANRASSET
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TIZI-OUZOU,15.1,15.76,,2022,moy_min_bac2022.pdf,52,B00,local,ens,TIZI-OUZOU
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers ALGER,14.81,15.48,,2022,moy_min_bac2022.pdf,52,B00,local,ens,ALGER
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers ILLIZI,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,ILLIZI
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BOUMERDES,15.82,16.9,,2022,moy_min_bac2022.pdf,52,B00,local,ens,BOUMERDES
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TIPAZA,15.87,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,TIPAZA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers AIN-DEFLA,15.38,16.08,,2022,moy_min_bac2022.pdf,52,B00,local,ens,AIN-DEFLA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers IN SALAH,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,IN SALAH
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers IN GUEZZAM,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,IN GUEZZAM
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers DJANET,,,,2022,moy_min_bac2022.pdf,52,B00,local,ens,DJANET
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers CHLEF,14.95,15.41,,2022,moy_min_bac2022.pdf,52,C01,local,ens,CHLEF
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers LAGHOUAT,,14.95,,2022,moy_min_bac2022.pdf,52,C01,local,ens,LAGHOUAT
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BLIDA,,14.53,,2022,moy_min_bac2022.pdf,52,C01,local,ens,BLIDA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BOUIRA,,15.97,,2022,moy_min_bac2022.pdf,52,C01,local,ens,BOUIRA
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TAMANRASSET,,,,2022,moy_min_bac2022.pdf,52,C01,local,ens,TAMANRASSET
C09,E.N.S. KOUBA (E.N.S),ALGER,False,propagated_from_2025,C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TLEMCEN,,14.4,,2022,moy_min_bac2022.pdf,52,C01,local,ens,TLEMCEN
