code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C99,RECRUTEMENT NATIONAL,,True,national,P01MAL01,MEDECINE,16.65,17.15,,2025,moy_min_bac2025.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P02MAL01,PHARMACIE,16.26,16.76,,2025,moy_min_bac2025.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P03MAL01,MEDECINE DENTAIRE,16.99,17.5,,2025,moy_min_bac2025.pdf,1
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,ADRAR,False,fallback_scan,D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,12.29,12.91,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,10.0,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A05TCL01,GENIE CIVIL,10.11,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,10.95,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,10.03,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A19TCL01,GENIE MECANIQUE,10.18,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,10.01,,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C01LAL01,INFORMATIQUE,10.45,10.11,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C02LAL01,MATHEMATIQUES,10.02,10.0,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.24,12.12,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,10.01,10.09,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.47,11.62,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G01LAL02,SCIENCES POLITIQUES,10.0,10.0,11.86,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G02LAL01,DROIT,10.0,10.02,13.18,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H01LAL01,LANGUE FRANCAISE,11.03,11.97,12.82,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H06LAL01,LANGUE ANGLAISE,11.02,11.03,11.05,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I17LAL02,SCIENCES HUMAINES,10.0,10.73,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I19LAL01,SCIENCES SOCIALES,10.33,11.11,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I20LAL01,SCIENCES ISLAMIQUES,10.31,11.04,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.0,,2025,moy_min_bac2025.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,N05IAL02,ARCHITECTURE,11.0,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A00LAL04,SCIENCES ET TECHNOLOGIES,10.95,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A00TCL03,SCIENCES ET TECHNOLOGIES,11.0,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A05TCL01,GENIE CIVIL,10.82,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,10.21,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,11.39,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A19TCL01,GENIE MECANIQUE,10.13,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,B00LAL03,SCIENCES DE LA MATIERE,10.3,,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,C01LAL03,INFORMATIQUE,13.67,14.33,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,C02LAL03,MATHEMATIQUES,10.26,10.9,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,10.98,11.75,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,D03TCL01,SCIENCES AGRONOMIQUES,10.56,12.36,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.02,10.2,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,E03LAL02,GEOLOGIE,10.02,10.0,,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.37,11.52,13.11,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,G01LAL03,SCIENCES POLITIQUES,10.0,10.0,10.04,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,G02LAL01,DROIT,10.0,10.0,10.0,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,H01LAL03,LANGUE FRANCAISE,11.07,11.92,12.62,2025,moy_min_bac2025.pdf,2
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,H03IAL24,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",13.02,13.43,,2025,moy_min_bac2025.pdf,2
